file_name,text
000015.jpg,A white car with moderate scratch on the front bumper 
000017.jpg,A white car with a light scratch beneath the door 
000018.jpg,A white car with a moderate scratch on the front bumper .
000019.jpg,A white car with light scratches on the front bumper
000020.jpg,A blue car with severe scratches on the front bumper
000021.jpg,A white car with moderate scratch on the rear door 
000024.jpg,A white car with moderate scratch on the front bumper 
000025.jpg,A white car with severe scratches on the front bumper 
000026.jpg,A white car with moderate scratches on the rear bumper 
000027.jpg,A white car with moderate scratches on the body 
000030.jpg,A silver car with severe  scratches on the fender 
000036.jpg,A beige car with moderate scratches on the front bumper 
000043.jpg,A beige car with moderate scratches on the front bumper
000046.jpg,A white car with moderate scratches on the body
000064.jpg,A silver car with a severe scratches beneath the door 
000070.jpg,A silver car with light scratches on the front bumper
000073.jpg,A green car with moderate scratches on the rear left f ender and rear bumper 
000097.jpg,A blue car with severe scratches  on the front bumper 
000105.jpg,A black car with moderate scratches on  the driver 's side rear door 
000107.jpg,A black car with moderate scratches on the rear fender 
000115.jpg,A white car with moderate scratches on the body 
000120.jpg,A white car with a severe scratch on the front bumper .
000121.jpg,A silver car with moderate scratches on the body 
000122.jpg,A silver car with moderate scratch on the front bumper .
000131.jpg,A blue car with moderate scratches on the fender
000147.jpg,A white car with a severe scratches beneath the door 
000148.jpg,A white car with moderate scratches on the front bumper 
000240.jpg,A blue car with moderate scratch on the rear bumper .
000352.jpg,A white car with a light scratch on the front bumper .
000360.jpg,A silver car with a moderate scratch on the rear bumper .
000367.jpg,A white car with a moderate scratch on the rear bumper
000369.jpg,A white car with moderate scratches on the rear bumper 
000409.jpg,A white car with a moderate scratches on the rear bumper
000417.jpg,A beige car with a light scratch on the rear bumper 
000418.jpg,A silver car with moderate scratch on the front fender 
000424.jpg,A white car with light scratches on the body 
000445.jpg,A white car with light scratches on the body 
000449.jpg,A white car with moderate scratches on the front bumper 
000451.jpg,A white car with moderate scratches on the front bumper 
000455.jpg,A white car with moderate scratches on the body 
000476.jpg,A gray car with a light scratch on the front bumper 
000477.jpg,A silver car with a light scratches on the front bumper 
000478.jpg,A silver car with moderate scratches on the front bumper 
000479.jpg,A white car with moderate scratch on the front bumper 
000481.jpg,A silver car with a severe scratch on the front bumper 
000482.jpg,A black car with moderate scratches on the front bumper 
000488.jpg,A silver car with moderate scratches on the rear bumper 
000497.jpg,A white car with moderate scratches on the front bumper 
000504.jpg,A white car with moderate scratches on the front bumper 
000523.jpg,A beige car with moderate scratches on the front bumper 
000525.jpg,A beige car with severe scratches on the front bumper and front fender 
000533.jpg,A beige car with a light scratch on the rear door
000551.jpg,A blue car with moderate scratches on the front bumper 
000556.jpg,A beige car with moderate scratch on the rear bumper 
000559.jpg,A blue car with a moderate scratch on the body 
000560.jpg,A blue car with moderate scratches on the front bumper and front fender 
000567.jpg,A silver car with a light scratch on the body
000583.jpg,A white car with severe scratch on the rear bumper 
000618.jpg,A gray car with moderate scratch on the rear bumper 
000619.jpg,A silver car with a moderate scratches on the front bumper 
000620.jpg,A white car with moderate scratches on the front bumper 
000621.jpg,A blue car with moderate scratches on the front bumper 
000630.jpg,A white car with a light scratches on the rear bumper 
000635.jpg,A blue car with a light scratches on the front bumper 
000636.jpg,A blue car with moderate scratches on the body 
000638.jpg,A grey car with moderate scratches on the body 
000640.jpg,A black car with severe scratch on the front bumper 
000644.jpg,A white car with a moderate scratches on the front bumper 
000646.jpg,A purple car with light scratches on the body 
000648.jpg,A dark brown car with light scratch on the front bumper 
000649.jpg,A black car with light scratches on the front bumper
000654.jpg,A silver car with a light scratches on the front bumper 
000679.jpg,A white car with moderate scratches on the front bumper 
000680.jpg,A silver car with moderate  scratches  on the body
000686.jpg,A gray car with moderate scratches  on the body
000687.jpg,A blue car with moderate scratches on the front bumper  
000694.jpg,A white car with moderate scratches on the body 
000699.jpg,A white car with a moderate scratches on the body 
000703.jpg,A white car with moderate scratches  on the front bumper
000757.jpg,A silver car with a moderate scratch on the front bumper 
000762.jpg,A black car with a light scratches on the body 
000764.jpg,A white car with moderate  scratches on the front bumper 
000766.jpg,A gray car with light scratches on the body 
000769.jpg,A black car with light scratches on the front bumper 
000797.jpg,A blue car with light scratches on the rear bumper 
000798.jpg,A red car with a moderate scratches on the body 
000809.jpg,A silver car with a moderate scratch on the body
000814.jpg,A silver car with moderate scratches on the front bumper 
000817.jpg,A white car with severe scratches on the body 
000830.jpg,A yellow car with moderate scratches on the front bumper
000834.jpg,A yellow car with moderate scratches on the rear bumper 
000839.jpg,A white car with moderate scratches on the front bumper 
000843.jpg,A beige car with moderate scratches on the front bumper 
000844.jpg,A white car with a moderate scratches on the front bumper
000893.jpg,A black car with light scratches on the front bumper and front fender 
000894.jpg,A silver car with moderate scratches on the front bumper
000901.jpg,A white car with severe scratches on the rear fender 
000908.jpg,A silver car with moderate scratches on the rear door 
000944.jpg,A silver car with a moderate scratches on the front bumper 
000954.jpg,A blue car with moderate scratches on the body
000976.jpg,A beige car with a severe scratch on the rear bumper 
001034.jpg,A white car with light scratches on the front door 
001041.jpg,A beige car with a severe scratch on the front bumper 
001042.jpg,A teal car with a light scratch on the front bumper 
001043.jpg,A white car with moderate scratches on the body
001110.jpg,A black car with moderate scratch on the front bumper 
001114.jpg,A beige car with moderate scratches on the front bumper 
001116.jpg,A silver car with moderate scratch on the front bumper
001122.jpg,A blue car with light scratches on the front bumper
001126.jpg,A white car with moderate scratch on the rear bumper
001127.jpg,A white car with a moderate scratch on the front bumper 
001129.jpg,A blue car with moderate scratch on the body
001130.jpg,A black car with light scratches on the front bumper 
001135.jpg,A white car with moderate scratch on the front bumper .
001143.jpg,A gray car with light scratches on the front bumper
001150.jpg,A gray car with light scratch on the rear bumper 
001167.jpg,A gray car with moderate scratches on the rear bumper 
001175.jpg,A red car with light scratches on the front bumper 
001177.jpg,A beige car with light scratches  on the rear bumper 
001179.jpg,A black car with a moderate scratch on the body
001180.jpg,A silver car with moderate scratch on the rear bumper .
001182.jpg,A silver car with light scratches on the rear bumper 
001185.jpg,A silver car with light scratches on the  rear bumper 
001191.jpg,A mar oon car with moderate scratches on the front bumper
001192.jpg,A white car with moderate scratches on the front bumper 
001213.jpg,A silver car with light scratches on the rear bumper .'
001219.jpg,A black car with moderate scratches on the rear bumper 
001226.jpg,A white car with light scratches on the rear bumper .
001228.jpg,A white car with moderate scratches on its rear bumper 
001257.jpg,A red car with light scratches on the body
001258.jpg,A red car with light scratches on the body
001274.jpg,A silver car with severe scratches on the front bumper 
001289.jpg,A black car with moderate scratch on the front bumper 
001290.jpg,A black car with moderate scratches on the rear bumper
001291.jpg,A silver car with moderate scratches on the front bumper 
001292.jpg,A beige car with a moderate scratch on the body 
001293.jpg,A black car with severe scratches on the body
001294.jpg,A beige car with severe scratches on the front 
001295.jpg,A black car with moderate scratches on the front bumper 
001296.jpg,A black car with moderate scratch on the front bumper and front fender 
001297.jpg,A blue car with light scratches on its front bumper 
001298.jpg,A blue car with moderate scratch on the front bumper 
001299.jpg,A white car with a moderate scratches on the front bumper  
001300.jpg,A  orange  car with moderate scratches on the front bumper
001301.jpg,A silver car with light scratches on the front door 
001302.jpg,A silver car with light scratches on the front bumper 
001303.jpg,A white car with light scratches on the body 
001305.jpg,A yellow car with moderate scratch on the body
001307.jpg,A red car with moderate scratches on the body
001310.jpg,A silver car with moderate scratches on the front bumper
001312.jpg,A white car with light scratches on the front bumper 
001313.jpg,A gray car with a moderate scratch on the door
001315.jpg,A black car with moderate scratch on the front fender 
001319.jpg,A white car with moderate scratches on the body 
001321.jpg,A gray car with light scratches on the front bumper 
001322.jpg,A silver car with moderate scratches on the front bumper
001323.jpg,A black car with a light scratch on the body
001325.jpg,A white car with light scratches on the door 
001326.jpg,A green car with light scratches on the body
001328.jpg,A gray car with a light scratches on the front bumper 
001333.jpg,A white car with a moderate scratch on the front bumper 
001334.jpg,A blue car with a light scratches on the body 
001337.jpg,A red car with light scratch (es ) on the front bumper .
001340.jpg,A silver car with a moderate scratch on the front bumper .
001362.jpg,A silver car with a light scratch on the front bumper 
001363.jpg,A silver car with moderate scratches on the rear bumper 
001365.jpg,A white car with moderate scratches on the door
001367.jpg,A white car with moderate scratch on the front bumper 
001413.jpg,A silver car with moderate scratches on the front bumper 
001418.jpg,A green car with moderate scratch on the front bumper .
001429.jpg,A white car with light scratches on the front bumper
001461.jpg,A white car with moderate scratches on the front bumper 
001462.jpg,A white car with severe scratches on the front bumper 
001464.jpg,A white car with moderate scratches on the door 
003676.jpg,A blue car with severe scratch beneath the door
003683.jpg,A silver car with moderate scratches on the front bumper 
003688.jpg,A beige car with moderate scratch on the rear bumper 
003693.jpg,A white car with moderate scratches on the front bumper 
003695.jpg,A beige car with a moderate scratch on the rear bumper 
003696.jpg,A silver car with light scratches on the front bumper 
003718.jpg,A white car with severe scratches on the body 
003723.jpg,A silver car with moderate scratch on the front bumper .
003781.jpg,A green car with a moderate scratch on the rear bumper .
003826.jpg,A white car with a severe scratches on the front  bumper and front fender 
003839.jpg,A silver car with moderate scratches on the front bumper 
003873.jpg,A white car with moderate scratches on the front bumper 
003893.jpg,A silver car with moderate scratches on the body 
003899.jpg,A white car with a light scratch on the front bumper .
003951.jpg,A silver car with light scratches on the rear bumper 
003955.jpg,A silver car with light scratches on the  front  door 
003956.jpg,A silver car with light scratch on the front bumper .
003983.jpg,A red car with a light scratch on the front bumper .
